Population,Birth rate,Death rate,Life expectancy,GDP per capita,GDP,Density,Year,Years ahead,Target_Growth_Rate
35926,9.1,6.6,81.8415,141200.0,5082370000.0,224.963,2010,5,3.9776206646996606
44816108,16.779,5.247,75.424,6326.55,286000000000.0,40.7595,2010,5,5.140160765410508
3210147,17.7,8.9,70.8044,,,50.0908,1970,10,9.689867784870911
1476983,15.0,12.3,68.9056,,,34.8483,1980,10,6.343404087927891
66391257,44.855,11.587,56.909,334.022,21565700000.0,28.4792,2010,5,18.47479254685598
1118241,,,,,,,1970,10,29.991656539153905
2057286,10.9,9.1,79.422,23437.5,48013600000.0,101.686,2010,5,1.1459758147384467
281462,15.3,6.5,79.6537,32018.1,9003640000.0,2.80504,2000,10,13.099814539795782
29229572,20.621,5.299,74.41,5082.35,148000000000.0,22.6779,2010,5,5.07120323212396
15274351,42.807,14.448,52.572,246.016,3956330000.0,35.8577,1970,10,28.833257792753354
184008,30.616,6.316,68.748,1542.07,269020000.0,61.6445,2000,10,5.795400199991304
62444567,12.9,8.5,81.6634,40638.3,2640000000000.0,118.759,2010,5,2.186262257211264
27845,,,,,,,1990,10,9.49542108098402
3078912,36.593,6.754,67.026,1398.06,4448090000.0,8.00812,1980,10,31.838617017959592
33465781,35.386,13.514,52.91,,,52.3676,1980,10,19.822552475318
24270,,,,12479.7,293074000.0,11742.0,1970,10,11.561598681499794
2408787,37.323,7.367,65.368,240.27,594611000.0,6.22895,1970,10,27.82001895559881
264657,13.934,7.553,77.162,11496.6,3121500000.0,631.43,2000,10,3.798879304155945
28715022,20.786,5.56,73.134,13825.4,393000000000.0,32.243,2010,5,6.319667803144988
8411676,47.141,23.205,41.343,,,11.4738,1970,10,35.68743018632672
6354145,48.103,17.384,49.987,419.789,2666620000.0,25.8517,1990,10,31.20517394551116
38416,21.1,7.4,,,,27.9434,1970,10,12.073094543940025
6260,,,,,,,1970,10,95.57507987220447
7653748,9.4,14.2,74.3366,5735.42,41819500000.0,83.3688,2010,5,-1.7540687255446612
21090886,41.809,12.045,55.5,483.953,12408600000.0,,1990,10,24.692594706547652
12026649,44.162,12.869,53.99,,,19.1983,2010,5,14.445062793468072
65290,28.9,7.0,69.5976,2329.35,147357000.0,137.524,1980,10,8.832899372032472
1859091,35.173,7.878,67.917,748.957,1404780000.0,173.189,1970,10,14.87043937063866
110286,28.432,4.895,69.262,,,192.839,1980,10,25.367680394610375
37435586,39.197,7.992,63.155,186.775,6687200000.0,120.042,1970,10,29.340959161157514
68346,,,,4787.78,333469000.0,92.8667,2000,10,0.5984256576829661
50523586,17.0,10.8,71.6585,2857.25,148000000000.0,94.8885,1970,10,6.31436573009683
2414303,29.93,4.603,72.113,2021.55,4831450000.0,46.8072,1980,10,30.81427641849428
15091594,41.419,14.499,50.993,649.992,10083900000.0,32.8192,2000,10,31.715947301524277
10007346,11.7,10.3,73.9659,7885.39,78721600000.0,109.106,1990,10,2.9306471466061033
148005704,13.4,11.2,68.8861,3485.11,517000000000.0,9.04774,1990,10,-0.7843380144322004
9381729,12.3,9.6,81.4512,52132.9,489000000000.0,22.8545,2010,5,4.984369085911563
3342410,50.515,28.148,35.807,,,,1970,10,25.418814567931523
528731,47.568,24.932,37.868,112.609,52296800.0,45.8903,1970,10,35.90767327809415
13375121,52.621,11.833,57.346,482.248,5647120000.0,22.1793,1990,10,39.278739982987815
28614227,22.7,4.9,69.672,1377.08,39332800000.0,67.1425,2010,5,8.160940360192152
3623617,21.102,4.925,76.792,8082.03,29440300000.0,49.0004,2010,5,9.203014557002023
2838110,47.1,14.727,52.339,417.669,1136410000.0,50.0246,1980,10,36.56789201264222
11910540,43.224,13.193,53.254,905.322,10795900000.0,37.4996,1990,10,41.04876856968701
30851606,40.037,12.621,50.921,397.483,12705400000.0,56.1629,2000,10,34.57288090610259
2450979,19.307,7.688,62.869,474.217,1136900000.0,1.54318,2000,10,10.262878629315061
2895224,42.914,14.973,51.734,306.833,874000000.0,29.5728,2000,10,38.84784044343374
5477086,51.102,20.695,44.123,285.273,1455480000.0,16.0442,1970,10,51.60998019749918
3214568,22.8,6.4,73.7002,4502.84,14436100000.0,361.443,1980,10,10.24112726811192
6999096,48.505,19.554,45.378,126.925,917044000.0,11.517,1990,10,24.608449434041198
6260,,,,,,,1970,10,95.57507987220447
117891,35.104,8.641,60.183,2299.07,254036000.0,30.1899,1970,10,38.764621557201146
16627837,22.53,8.95,68.2954,9070.49,148000000000.0,6.04581,2010,5,7.265358687362644
14944548,13.2,8.6,76.878,21290.9,318000000000.0,442.876,1990,10,6.387526742193876
11229387,43.727,18.137,45.09,156.386,1743510000.0,118.252,2000,10,31.07057402153831
83929765,43.039,14.444,52.9,227.752,18138000000.0,611.811,1980,10,27.663470760343483
62760039,12.9,8.9,80.4024,39079.8,2450000000000.0,259.44,2010,5,3.926582964679165
14944548,13.2,8.6,76.878,21290.9,318000000000.0,442.876,1990,10,6.387526742193876
15446982,40.038,10.933,56.776,398.637,5889170000.0,64.9261,1990,10,27.309671235455575
6272998,30.624,8.511,61.974,138.429,860521000.0,44.4151,2000,10,21.501377810099733
396053,17.329,3.831,74.74,35269.6,13707400000.0,73.7469,2010,5,6.409243207348511
1741286,15.9,10.1,68.6098,,,85.645,1970,10,9.204920960715242
1907023,21.163,7.191,68.64,,,75.6664,1980,10,7.19189018695632
418755,9.4,7.3,81.3976,21087.8,8741060000.0,1295.34,2010,5,9.032489164308485
56184,15.6,8.0,66.9634,19004.1,1068030000.0,0.136923,2000,10,0.2972376477288908
24628858,35.821,5.627,69.082,,,53.7247,2000,10,26.944071056806614
6656725,33.829,5.239,70.689,1080.46,7103510000.0,58.7587,2000,10,26.95331412969591
95214257,44.265,18.579,45.9,567.529,54035800000.0,104.541,1990,10,29.026878821309293
15899135,13.0,8.8,77.9878,26149.4,416000000000.0,471.727,2000,10,4.515849447155459
54849,18.7,,,10271.2,576000000.0,280.395,2010,5,-6.346514977483637
6711693,12.5,9.5,77.2424,38428.4,258000000000.0,169.888,1990,10,7.008157256298821
7193533,,,,,,,1970,10,8.111132596458512
1829256,41.978,12.494,54.226,959.426,1705800000.0,5.20625,1980,10,30.404656319290464
8336967,44.21,15.443,51.203,363.482,2995360000.0,33.5371,2000,10,23.19501804433195
44816108,16.779,5.247,75.424,6326.55,286000000000.0,40.7595,2010,5,5.140160765410508
61558898,33.02,6.298,66.366,715.914,44311600000.0,207.583,1990,10,26.640056162148973
200328340,18.4,9.5,70.8073,5234.3,1070000000000.0,22.3881,1970,10,11.387144724505779
57210442,13.9,11.2,75.8805,19095.5,1090000000000.0,236.629,1990,10,2.8659121354105253
938578,44.154,9.775,59.174,1181.6,1060920000.0,1.5843,1980,10,42.926213910831066
8360225,31.777,11.279,57.131,467.148,3953850000.0,307.105,2000,10,17.73463034786743
12486631,50.321,21.109,43.244,272.655,3641720000.0,20.4585,1980,10,-14.350027641563203
5047404,41.243,15.503,51.145,284.22,1439240000.0,32.594,1970,10,30.327510934333766
96708,34.621,6.348,66.889,572.868,53260100.0,129.126,1980,10,2.087728005956074
1090290,21.3,6.6,69.4049,2506.18,2653480000.0,521.564,1990,10,11.523539608727953
7987529,,,,,,86.7368,1990,10,-0.6573622455705639
58230,,,,,,289.105,2000,10,-5.806285419886657
18739378,43.226,11.261,58.198,2203.0,42345300000.0,8.07043,1980,10,36.17353788370137
8311763,11.7,11.0,75.741,16875.6,140000000000.0,20.2528,1980,10,2.84708551001755
9131361,47.417,17.005,49.454,351.979,3101300000.0,32.2041,1990,10,30.132715156043005
72978,24.8,5.3,,966.682,72804700.0,100.419,1980,10,-4.791855079613034
4494310,14.844,7.711,70.877,,,87.1762,1990,10,-7.007972302756152
3619090,42.878,13.14,54.998,308.44,1132920000.0,176.166,1970,10,24.589109417008142
170935,13.08,6.577,74.852,8037.47,1399200000.0,285.385,2010,5,2.7425629625296164
19922618,21.1,9.5,68.0564,,,87.9152,1970,10,11.055806019068378
25003,15.4,6.9,,20661.6,534702000.0,161.744,1980,10,15.0461944566652
322106,23.402,4.597,72.057,4331.43,1396731700.0,14.137,2010,5,11.72440128404935
8303809,48.566,15.205,51.072,1266.62,10175600000.0,25.2631,1980,10,43.43465751680945
3864972,34.813,10.713,56.492,697.54,3219730000.0,10.1926,1990,10,42.51841927962221
8540791,24.771,6.117,69.429,2869.11,24305100000.0,175.353,2000,10,14.459597477563847
88826,30.579,7.918,63.144,796.888,67254200.0,104.193,2000,10,21.58039312813816
53416,,,,2926.75,164969100.0,313.144,2010,5,-7.499625580350457
4606621,14.0,9.6,70.1795,2467.48,11366000000.0,15.123,1970,10,3.751057445359625
5550849,11.4,9.8,79.1,58041.4,322000000000.0,130.749,2010,5,2.286983486670237
11413587,46.628,21.493,43.515,303.201,3526290000.0,14.7895,1980,10,16.558089932639056
109308,16.252,7.79,71.776,6292.79,681226000.0,277.577,2010,5,-2.585355143264903
21731053,35.204,7.375,63.388,412.731,8729940000.0,36.3718,2010,5,14.356685798888808
6267369,51.34,21.509,44.296,198.011,1237660000.0,66.2966,1980,10,52.21163777017118
38170501,22.6,7.3,66.0463,1704.47,64980800000.0,395.229,1980,10,15.586743281153161
6932967,49.099,19.739,46.049,282.686,1928720000.0,24.9373,1980,10,31.709281177885313
1516188,37.583,7.527,65.532,889.238,1351006400.0,20.437,1970,10,29.072845847612566
172833,45.365,11.816,56.203,,,5.72526,1970,10,35.19871783745002
182589,35.862,5.408,71.242,2197.19,412086000.0,8.22236,1990,10,31.66510578402861
133343,36.667,8.092,62.582,1382.55,179080000.0,24.5786,1970,10,40.93053253639111
57437,34.622,14.091,52.323,279.472,14295300.0,63.1494,1970,10,5.877744311158312
12388769,30.601,7.841,64.097,183.927,2296470000.0,199.103,1970,10,20.622517055568636
17973650,20.471,6.325,66.186,,,145.105,1980,10,15.722310159594741
143714,39.589,9.054,61.365,,,148.19,2000,10,26.736434863687602
6114034,19.654,6.848,71.21,2983.23,18447900000.0,298.45,2010,5,1.9141535686585978
4680812,39.366,18.657,46.027,70.8263,331200000.0,169.675,1970,10,20.63453947733855
55650166,16.2,11.8,71.9732,2347.54,131000000000.0,230.08,1970,10,1.2150224313796298
200328340,18.4,9.5,70.8073,5234.3,1070000000000.0,22.3881,1970,10,11.387144724505779
2324731,31.837,7.996,66.935,,,77.9372,1970,10,26.53726388128347
5202918,47.319,11.537,56.913,356.23,1884206300.0,13.6727,1970,10,35.49946395465006
2702520,24.665,6.562,67.38,2643.29,7189480000.0,1.75075,2010,5,9.70312893151577
3521206,15.2,10.5,70.4822,,,54.4544,1980,10,7.515635268143926
8190337,14.5,5.8,66.763,655.097,5272620000.0,97.4348,2000,10,12.781708493801903
2344253,24.139,3.518,72.126,8601.25,19507400000.0,7.32786,2000,10,22.935280449678427
99047,28.31,7.968,69.598,2886.91,278099000.0,283.326,1990,10,8.46567791048694
1023481,44.232,16.751,50.584,66.8062,68738600.0,33.8908,1970,10,37.53767778786318
184008,30.616,6.316,68.748,1542.07,269020000.0,61.6445,2000,10,5.795400199991304
540394,33.965,4.752,70.674,1290.4,681151000.0,18.8589,2010,5,13.372835375670345
1570674,14.2,12.4,69.4756,,,37.0176,1990,10,-11.065122361483033
102603,28.248,6.862,69.667,2065.5,202363000.0,136.074,2000,10,4.658733175443213
3352651,14.332,9.324,76.75,11992.0,40284500000.0,19.1937,2010,5,1.496338270819122
138263,25.615,4.709,71.925,,,241.633,1990,10,15.857460058005396
2941651,26.981,6.291,70.208,,,97.5181,1980,10,12.014171633548642
6999096,48.505,19.554,45.378,126.925,917044000.0,11.517,1990,10,24.608449434041198
33739933,35.475,8.122,62.764,1489.88,65634100000.0,,2010,5,13.133532304287623
7465301,15.0,13.2,69.9146,2058.77,15373000000.0,90.4225,1970,10,1.1018979676773917
3104788,39.458,13.045,52.735,712.92,2545980000.0,7.88589,1980,10,24.484248199877094
1986024,11.2,9.3,73.2049,9073.71,18130700000.0,99.2136,1990,10,-0.08484288205983413
1090290,21.3,6.6,69.4049,2506.18,2653480000.0,521.564,1990,10,11.523539608727953
37435586,39.197,7.992,63.155,186.775,6687200000.0,120.042,1970,10,29.340959161157514
1567220,39.089,11.741,54.628,557.632,849050000.0,54.1465,2010,5,14.146003751866361
2737619,24.8,6.7,71.5355,1852.35,5034700000.0,306.426,1970,10,17.422037179023086
53569,11.9,,,18878.5,1029050000.0,115.977,1990,10,23.386660195262184
1030496,32.318,14.877,47.49,1728.71,1738100000.0,58.4555,2000,10,6.736949973604944
5363271,11.4,9.5,79.8707,46202.4,248000000000.0,17.6484,2010,5,2.1664018096419144
3691209,29.6,9.869,62.9038,,,18.8603,1980,10,19.05947346790713
2737619,24.8,6.7,71.5355,1852.35,5034700000.0,306.426,1970,10,17.422037179023086
40741651,9.8,8.9,78.9659,14676.7,595000000000.0,81.2983,2000,10,14.312431766694973
13653369,39.971,9.86,59.882,3911.54,53405700000.0,31.2169,1980,10,29.33350735631623
2790265,20.765,9.83,68.616,760.589,2137100000.0,16.0541,1970,10,5.859120907870758
1127852,28.639,7.744,66.533,5748.67,6235830000.0,211.451,1980,10,12.294698240549291
9381729,12.3,9.6,81.4512,52132.9,489000000000.0,22.8545,2010,5,4.984369085911563
7987529,,,,,,86.7368,1990,10,-0.6573622455705639
3811088,9.256,9.747,76.031,4635.52,17176800000.0,72.3725,2010,5,-7.524465454484389
27076,,,,51528.5,1378130000.0,13372.5,1980,10,12.01433003397843
5008035,39.833,12.756,53.491,302.206,1488190000.0,90.5387,2000,10,31.226219465319232
5814,,,,,,191.167,1970,10,32.972136222910216
8540791,24.771,6.117,69.429,2869.11,24305100000.0,175.353,2000,10,14.459597477563847
75124,36.719,10.087,59.636,549.856,39809500.0,89.3827,1990,10,18.23917789255098
778176,31.0,8.415,62.498,773.182,603200000.0,3.96319,1980,10,-3.991384982317625
98727,31.341,6.225,68.935,1194.54,113564000.0,132.04,1990,10,3.9259776960709836
221537,21.4,5.1,75.1634,12579.6,2682350000.0,11.6647,2000,10,18.005570175636578
6571855,37.207,10.175,57.468,533.509,3426020000.0,118.067,2010,5,13.715670841794289
983028,37.481,11.111,60.965,6268.95,5952290000.0,3.6849,1990,10,29.491225071920635
557501301,39.108,17.187,47.737,112.434,62422500000.0,186.732,1970,10,24.991346881179744
12501285,42.658,22.327,40.881,71.7186,865975000.0,84.4379,1970,10,24.790707515267428
33034,13.1,4.1,,,,1001.65,2010,5,21.70793727674517
67031867,43.728,14.024,51.941,124.461,8242390000.0,66.2248,2000,10,33.12741386123111
13284026,49.045,16.117,50.0,100.03,1244609999.0,62.2708,1980,10,32.38930727777859
26206012,43.986,14.914,50.206,173.791,4258740000.0,28.4532,1990,10,31.510677778824185
9629376,14.7,12.3,70.972,2780.7,26849100000.0,,1970,10,2.072927674648908
1264099069,14.03,6.45,71.397,959.372,1210000000000.0,134.492,2000,10,6.65235036258064
6307659,42.993,15.005,49.091,136.464,870486000.0,248.398,2000,10,44.69084330652624
98459,40.367,9.496,63.691,203.847,18450000.0,232.074,1970,10,9.162189337693864
557501301,39.108,17.187,47.737,112.434,62422500000.0,186.732,1970,10,24.991346881179744
5396424,11.2,9.9,75.1122,16600.6,89501000000.0,112.109,2010,5,0.519232736345402
2067356,42.492,22.859,42.223,104.413,189107000.0,2.90723,1970,10,16.82922534870627
6925331,37.257,13.35,54.265,439.944,3096290000.0,255.367,1990,10,20.719500627479036
7193533,,,,,,,1970,10,8.111132596458512
315414,17.6,10.1,71.3053,828.422,250722000.0,945.781,1970,10,5.7616339160595285
3827108,15.59,7.48,76.6893,16192.1,61701800000.0,429.606,2000,10,-2.852963647746549
4803254,22.2,6.8,76.6073,12644.9,58925400000.0,215.342,1990,10,27.350292114470733
21919876,10.4,11.4,71.1634,1659.91,37253300000.0,97.7013,2000,10,-7.2293520273563585
9539665,47.939,19.22,46.096,199.986,1880770000.0,99.7507,1990,10,17.712592632969816
53324036,16.7,9.7,71.5588,2099.91,113000000000.0,182.999,1970,10,5.6361937794806085
12530121,38.306,7.305,64.284,1278.98,16215100000.0,65.8502,2010,5,14.573362858985957
3815561,23.626,6.949,66.187,,,73.4478,1970,10,10.0708388622276
146844839,8.7,15.3,65.4837,1771.6,260000000000.0,8.949,2000,10,-2.4530926824060875
114039,17.501,8.585,72.867,7257.76,771013000.0,312.45,2010,5,4.3327282771683375
28717731,17.258,4.649,74.493,9040.57,255000000000.0,85.8561,2010,5,8.186935102916035
656024,35.209,8.244,61.862,1315.21,907093000.0,370.603,2010,5,11.309342341133862
4585693,42.307,19.797,45.568,226.807,1017000000.0,4.13921,1970,10,25.086611772746238
17204094,20.624,6.5,69.509,463.619,8032550000.0,276.284,1990,10,9.138970061428402
363741,11.4,11.3,72.0726,17113.8,6232010000.0,,1980,10,4.818263544665022
258868,15.988,7.763,74.704,7754.08,2023320000.0,606.828,1990,10,2.2362748582289043
274711,11.748,8.368,78.364,16056.0,4529900000.0,656.119,2010,5,1.2274717794336594
684977,41.136,13.686,53.279,1725.55,1046000000.0,21.6107,2000,10,59.78989075545602
9204938,54.636,18.588,48.532,,,15.0423,1980,10,45.30375978632338
22019168,13.7,6.5,81.6951,52022.1,1150000000000.0,2.86786,2010,5,8.179546111824026
696828385,36.167,13.29,53.814,266.578,186000000000.0,235.085,1980,10,24.916289826511587
17048003,15.4,7.0,76.9946,18211.1,311000000000.0,2.22135,1990,10,11.555371030847425
45683020,10.8,15.2,70.2654,2965.14,136000000000.0,79.1802,2010,5,-1.5332961787552575
333587,17.7,10.2,73.0779,3948.4,1250240000.0,989.516,1980,10,9.534244439981174
16307654,31.363,3.719,73.11,1177.63,19325900000.0,89.2962,2000,10,36.97594393405698
118156,39.12,9.052,59.961,981.195,113423000.0,9.48294,1980,10,27.697281559971564
788500,19.049,6.987,76.554,9641.58,5591130000.0,82.967,1990,10,20.258338617628407
23367059,17.973,9.076,65.268,,,190.425,2000,10,5.646307479259585
175873720,20.119,6.189,70.116,3749.75,655000000000.0,20.9126,2000,10,11.644589083576557
3391387,21.7,9.8,72.6232,6380.07,21773900000.0,49.5398,1980,10,2.771343995834153
55599,22.6,8.4,65.0683,18326.8,1018970000.0,0.162716,1990,10,1.0521771974316085
1369011,37.795,8.546,61.608,1944.14,2785760000.0,1.74046,1990,10,32.87994033649109
7777010,,,,,,,1980,10,2.7069400707984177
